Year label Species variable Age M2 Species.n Lab
2005 abc abc M2 2 NA 1 1
2006 abc abc M2 2 NA 1 1
2007 abc abc M2 2 NA 1 1
2008 abc abc M2 2 NA 1 1
2009 abc abc M2 2 NA 1 1
2010 abc abc M2 2 NA 1 1
1963 abc abc M2 2 NA 1 2
1964 abc abc M2 2 NA 1 2
1965 abc abc M2 2 NA 1 2
1966 abc abc M2 2 NA 1 2
1967 abc abc M2 2 NA 1 2
1968 abc abc M2 2 NA 1 2
1969 abc abc M2 2 NA 1 2
1970 abc abc M2 2 NA 1 2
1971 abc abc M2 2 NA 1 2
1972 abc abc M2 2 NA 1 2
1973 abc abc M2 2 NA 1 2
1974 abc abc M2 2 NA 1 2
1975 abc abc M2 2 NA 1 2
1976 abc abc M2 2 NA 1 2
1977 abc abc M2 2 NA 1 2
1978 abc abc M2 2 NA 1 2
1979 abc abc M2 2 NA 1 2
1980 abc abc M2 2 NA 1 2
1981 abc abc M2 2 NA 1 2
1982 abc abc M2 2 NA 1 2
1983 abc abc M2 2 NA 1 2
1984 abc abc M2 2 NA 1 2
1985 abc abc M2 2 NA 1 2
1986 abc abc M2 2 NA 1 2
1987 abc abc M2 2 NA 1 2
1988 abc abc M2 2 NA 1 2
1989 abc abc M2 2 NA 1 2
1990 abc abc M2 2 NA 1 2
1991 abc abc M2 2 NA 1 2
1992 abc abc M2 2 NA 1 2
1993 abc abc M2 2 NA 1 2
1994 abc abc M2 2 NA 1 2
1995 abc abc M2 2 NA 1 2
1996 abc abc M2 2 NA 1 2
1997 abc abc M2 2 NA 1 2
1998 abc abc M2 2 NA 1 2
1999 abc abc M2 2 NA 1 2
2000 abc abc M2 2 NA 1 2
2001 abc abc M2 2 NA 1 2
2002 abc abc M2 2 NA 1 2
2003 abc abc M2 2 NA 1 2
2004 abc abc M2 2 NA 1 2
2005 abc abc M2 2 NA 1 2
2006 abc abc M2 2 NA 1 2
2007 abc abc M2 2 NA 1 2
2008 abc abc M2 2 NA 1 2
2009 abc abc M2 2 NA 1 2
2010 abc abc M2 2 NA 1 2
1963 abc abc M2 2 NA 1 3
1964 abc abc M2 2 NA 1 3
1965 abc abc M2 2 NA 1 3
1966 abc abc M2 2 NA 1 3
1967 abc abc M2 2 NA 1 3
1968 abc abc M2 2 NA 1 3
1969 abc abc M2 2 NA 1 3
1970 abc abc M2 2 NA 1 3
1971 abc abc M2 2 NA 1 3
1972 abc abc M2 2 NA 1 3
1973 abc abc M2 2 NA 1 3
1974 abc abc M2 2 NA 1 3
1975 abc abc M2 2 NA 1 3
1976 abc abc M2 2 NA 1 3
1977 abc abc M2 2 NA 1 3
1978 abc abc M2 2 NA 1 3
1979 abc abc M2 2 NA 1 3
1980 abc abc M2 2 NA 1 3
1981 abc abc M2 2 NA 1 3
1982 abc abc M2 2 NA 1 3
1983 abc abc M2 2 NA 1 3
1984 abc abc M2 2 NA 1 3
1985 abc abc M2 2 NA 1 3
1986 abc abc M2 2 NA 1 3
1987 abc abc M2 2 NA 1 3
1988 abc abc M2 2 NA 1 3
1989 abc abc M2 2 NA 1 3
1990 abc abc M2 2 NA 1 3
1991 abc abc M2 2 NA 1 3
1992 abc abc M2 2 NA 1 3
1993 abc abc M2 2 NA 1 3
1994 abc abc M2 2 NA 1 3
1995 abc abc M2 2 NA 1 3
1996 abc abc M2 2 NA 1 3
1997 abc abc M2 2 NA 1 3
1998 abc abc M2 2 NA 1 3
1999 abc abc M2 2 NA 1 3
2000 abc abc M2 2 NA 1 3
2001 abc abc M2 2 NA 1 3
2002 abc abc M2 2 NA 1 3
2003 abc abc M2 2 NA 1 3
2004 abc abc M2 2 NA 1 3
2005 abc abc M2 2 NA 1 3
2006 abc abc M2 2 NA 1 3
2007 abc abc M2 2 NA 1 3
2008 abc abc M2 2 NA 1 3
2009 abc abc M2 2 NA 1 3
2010 abc abc M2 2 NA 1 3
1963 abc abc M2 2 NA 10 1
1964 abc abc M2 2 NA 10 1
1965 abc abc M2 2 NA 10 1
1966 abc abc M2 2 NA 10 1
1967 abc abc M2 2 NA 10 1
1968 abc abc M2 2 NA 10 1
1969 abc abc M2 2 NA 10 1
1970 abc abc M2 2 NA 10 1
1971 abc abc M2 2 NA 10 1
1972 abc abc M2 2 NA 10 1
1973 abc abc M2 2 NA 10 1
1974 abc abc M2 2 NA 10 1
1975 abc abc M2 2 NA 10 1
1976 abc abc M2 2 NA 10 1
1977 abc abc M2 2 NA 10 1
1978 abc abc M2 2 NA 10 1
1979 abc abc M2 2 NA 10 1
1980 abc abc M2 2 NA 10 1
1981 abc abc M2 2 NA 10 1
1982 abc abc M2 2 NA 10 1
1983 abc abc M2 2 NA 10 1
1984 abc abc M2 2 NA 10 1
1985 abc abc M2 2 NA 10 1
1986 abc abc M2 2 NA 10 1
1987 abc abc M2 2 NA 10 1
1988 abc abc M2 2 NA 10 1
1989 abc abc M2 2 NA 10 1
1990 abc abc M2 2 NA 10 1
1991 abc abc M2 2 NA 10 1
1992 abc abc M2 2 NA 10 1
1993 abc abc M2 2 NA 10 1
1994 abc abc M2 2 NA 10 1
1995 abc abc M2 2 NA 10 1
1996 abc abc M2 2 NA 10 1
1997 abc abc M2 2 NA 10 1
1998 abc abc M2 2 NA 10 1
1999 abc abc M2 2 NA 10 1
2000 abc abc M2 2 NA 10 1
2001 abc abc M2 2 NA 10 1
2002 abc abc M2 2 NA 10 1
2003 abc abc M2 2 NA 10 1
2004 abc abc M2 2 NA 10 1
2005 abc abc M2 2 NA 10 1
2006 abc abc M2 2 NA 10 1
2007 abc abc M2 2 NA 10 1
2008 abc abc M2 2 NA 10 1
2009 abc abc M2 2 NA 10 1
2010 abc abc M2 2 NA 10 1
1963 abc abc M2 2 NA 10 2
1964 abc abc M2 2 NA 10 2
1965 abc abc M2 2 NA 10 2
1966 abc abc M2 2 NA 10 2
1967 abc abc M2 2 NA 10 2
1968 abc abc M2 2 NA 10 2
1969 abc abc M2 2 NA 10 2
1970 abc abc M2 2 NA 10 2
1971 abc abc M2 2 NA 10 2
1972 abc abc M2 2 NA 10 2
1973 abc abc M2 2 NA 10 2
1974 abc abc M2 2 NA 10 2
1975 abc abc M2 2 NA 10 2
1976 abc abc M2 2 NA 10 2
1977 abc abc M2 2 NA 10 2
1978 abc abc M2 2 NA 10 2
1979 abc abc M2 2 NA 10 2
1980 abc abc M2 2 NA 10 2
1981 abc abc M2 2 NA 10 2
1982 abc abc M2 2 NA 10 2
1983 abc abc M2 2 NA 10 2
1984 abc abc M2 2 NA 10 2
1985 abc abc M2 2 NA 10 2
1986 abc abc M2 2 NA 10 2
1987 abc abc M2 2 NA 10 2
1988 abc abc M2 2 NA 10 2
1989 abc abc M2 2 NA 10 2
1990 abc abc M2 2 NA 10 2
1991 abc abc M2 2 NA 10 2
1992 abc abc M2 2 NA 10 2
1993 abc abc M2 2 NA 10 2
1994 abc abc M2 2 NA 10 2
1995 abc abc M2 2 NA 10 2
1996 abc abc M2 2 NA 10 2
1997 abc abc M2 2 NA 10 2
1998 abc abc M2 2 NA 10 2
1999 abc abc M2 2 NA 10 2
2000 abc abc M2 2 NA 10 2
2001 abc abc M2 2 NA 10 2
2002 abc abc M2 2 NA 10 2
2003 abc abc M2 2 NA 10 2
2004 abc abc M2 2 NA 10 2
2005 abc abc M2 2 NA 10 2
2006 abc abc M2 2 NA 10 2
2007 abc abc M2 2 NA 10 2
2008 abc abc M2 2 NA 10 2
2009 abc abc M2 2 NA 10 2
2010 abc abc M2 2 NA 10 2
1963 abc abc M2 2 NA 10 3
1964 abc abc M2 2 NA 10 3
1965 abc abc M2 2 NA 10 3
1966 abc abc M2 2 NA 10 3
1967 abc abc M2 2 NA 10 3
1968 abc abc M2 2 NA 10 3
1969 abc abc M2 2 NA 10 3
1970 abc abc M2 2 NA 10 3
1971 abc abc M2 2 NA 10 3
1972 abc abc M2 2 NA 10 3
1973 abc abc M2 2 NA 10 3
1974 abc abc M2 2 NA 10 3
1975 abc abc M2 2 NA 10 3
1976 abc abc M2 2 NA 10 3
1977 abc abc M2 2 NA 10 3
1978 abc abc M2 2 NA 10 3
1979 abc abc M2 2 NA 10 3
1980 abc abc M2 2 NA 10 3
1981 abc abc M2 2 NA 10 3
1982 abc abc M2 2 NA 10 3
1983 abc abc M2 2 NA 10 3
1984 abc abc M2 2 NA 10 3
1985 abc abc M2 2 NA 10 3
1986 abc abc M2 2 NA 10 3
1987 abc abc M2 2 NA 10 3
1988 abc abc M2 2 NA 10 3
1989 abc abc M2 2 NA 10 3
1990 abc abc M2 2 NA 10 3
1991 abc abc M2 2 NA 10 3
1992 abc abc M2 2 NA 10 3
1993 abc abc M2 2 NA 10 3
1994 abc abc M2 2 NA 10 3
1995 abc abc M2 2 NA 10 3
1996 abc abc M2 2 NA 10 3
1997 abc abc M2 2 NA 10 3
1998 abc abc M2 2 NA 10 3
1999 abc abc M2 2 NA 10 3
2000 abc abc M2 2 NA 10 3
2001 abc abc M2 2 NA 10 3
2002 abc abc M2 2 NA 10 3
2003 abc abc M2 2 NA 10 3
2004 abc abc M2 2 NA 10 3
2005 abc abc M2 2 NA 10 3
2006 abc abc M2 2 NA 10 3
2007 abc abc M2 2 NA 10 3
2008 abc abc M2 2 NA 10 3
2009 abc abc M2 2 NA 10 3
2010 abc abc M2 2 NA 10 3
1963 abc abc M2 2 NA 6 1
1964 abc abc M2 2 NA 6 1
1965 abc abc M2 2 NA 6 1
1966 abc abc M2 2 NA 6 1
1967 abc abc M2 2 NA 6 1
1968 abc abc M2 2 NA 6 1
1969 abc abc M2 2 NA 6 1
1970 abc abc M2 2 NA 6 1
1971 abc abc M2 2 NA 6 1
1972 abc abc M2 2 NA 6 1
1973 abc abc M2 2 NA 6 1
1974 abc abc M2 2 NA 6 1
1975 abc abc M2 2 NA 6 1
1976 abc abc M2 2 NA 6 1
1977 abc abc M2 2 NA 6 1
1978 abc abc M2 2 NA 6 1
1979 abc abc M2 2 NA 6 1
1980 abc abc M2 2 NA 6 1
1981 abc abc M2 2 NA 6 1
1982 abc abc M2 2 NA 6 1
1983 abc abc M2 2 NA 6 1
1984 abc abc M2 2 NA 6 1
1985 abc abc M2 2 NA 6 1
1986 abc abc M2 2 NA 6 1
1987 abc abc M2 2 NA 6 1
1988 abc abc M2 2 NA 6 1
1989 abc abc M2 2 NA 6 1
1990 abc abc M2 2 NA 6 1
1991 abc abc M2 2 NA 6 1
1992 abc abc M2 2 NA 6 1
1993 abc abc M2 2 NA 6 1
1994 abc abc M2 2 NA 6 1
1995 abc abc M2 2 NA 6 1
1996 abc abc M2 2 NA 6 1
1997 abc abc M2 2 NA 6 1
1998 abc abc M2 2 NA 6 1
1999 abc abc M2 2 NA 6 1
2000 abc abc M2 2 NA 6 1
2001 abc abc M2 2 NA 6 1
2002 abc abc M2 2 NA 6 1
2003 abc abc M2 2 NA 6 1
2004 abc abc M2 2 NA 6 1
2005 abc abc M2 2 NA 6 1
2006 abc abc M2 2 NA 6 1
2007 abc abc M2 2 NA 6 1
2008 abc abc M2 2 NA 6 1
2009 abc abc M2 2 NA 6 1
2010 abc abc M2 2 NA 6 1
1963 abc abc M2 2 NA 6 2
1964 abc abc M2 2 NA 6 2
1965 abc abc M2 2 NA 6 2
1966 abc abc M2 2 NA 6 2
1967 abc abc M2 2 NA 6 2
1968 abc abc M2 2 NA 6 2
1969 abc abc M2 2 NA 6 2
1970 abc abc M2 2 NA 6 2
1971 abc abc M2 2 NA 6 2
1972 abc abc M2 2 NA 6 2
1973 abc abc M2 2 NA 6 2
1974 abc abc M2 2 NA 6 2
1975 abc abc M2 2 NA 6 2
1976 abc abc M2 2 NA 6 2
1977 abc abc M2 2 NA 6 2
1978 abc abc M2 2 NA 6 2
1979 abc abc M2 2 NA 6 2
1980 abc abc M2 2 NA 6 2
1981 abc abc M2 2 NA 6 2
1982 abc abc M2 2 NA 6 2
1983 abc abc M2 2 NA 6 2
1984 abc abc M2 2 NA 6 2
1985 abc abc M2 2 NA 6 2
1986 abc abc M2 2 NA 6 2
1987 abc abc M2 2 NA 6 2
1988 abc abc M2 2 NA 6 2
1989 abc abc M2 2 NA 6 2
1990 abc abc M2 2 NA 6 2
1991 abc abc M2 2 NA 6 2
1992 abc abc M2 2 NA 6 2
1993 abc abc M2 2 NA 6 2
1994 abc abc M2 2 NA 6 2
1995 abc abc M2 2 NA 6 2
1996 abc abc M2 2 NA 6 2
1997 abc abc M2 2 NA 6 2
1998 abc abc M2 2 NA 6 2
1999 abc abc M2 2 NA 6 2
2000 abc abc M2 2 NA 6 2
2001 abc abc M2 2 NA 6 2
2002 abc abc M2 2 NA 6 2
2003 abc abc M2 2 NA 6 2
2004 abc abc M2 2 NA 6 2
2005 abc abc M2 2 NA 6 2
2006 abc abc M2 2 NA 6 2
2007 abc abc M2 2 NA 6 2
2008 abc abc M2 2 NA 6 2
2009 abc abc M2 2 NA 6 2
2010 abc abc M2 2 NA 6 2
1963 abc abc M2 2 NA 6 3
1964 abc abc M2 2 NA 6 3
1965 abc abc M2 2 NA 6 3
1966 abc abc M2 2 NA 6 3
1967 abc abc M2 2 NA 6 3
1968 abc abc M2 2 NA 6 3
1969 abc abc M2 2 NA 6 3
1970 abc abc M2 2 NA 6 3
1971 abc abc M2 2 NA 6 3
1972 abc abc M2 2 NA 6 3
1973 abc abc M2 2 NA 6 3
1974 abc abc M2 2 NA 6 3
1975 abc abc M2 2 NA 6 3
1976 abc abc M2 2 NA 6 3
1977 abc abc M2 2 NA 6 3
1978 abc abc M2 2 NA 6 3
1979 abc abc M2 2 NA 6 3
1980 abc abc M2 2 NA 6 3
1981 abc abc M2 2 NA 6 3
1982 abc abc M2 2 NA 6 3
1983 abc abc M2 2 NA 6 3
1984 abc abc M2 2 NA 6 3
1985 abc abc M2 2 NA 6 3
1986 abc abc M2 2 NA 6 3
1987 abc abc M2 2 NA 6 3
1988 abc abc M2 2 NA 6 3
1989 abc abc M2 2 NA 6 3
1990 abc abc M2 2 NA 6 3
1991 abc abc M2 2 NA 6 3
1992 abc abc M2 2 NA 6 3
1993 abc abc M2 2 NA 6 3
1994 abc abc M2 2 NA 6 3
1995 abc abc M2 2 NA 6 3
1996 abc abc M2 2 NA 6 3
1997 abc abc M2 2 NA 6 3
1998 abc abc M2 2 NA 6 3
1999 abc abc M2 2 NA 6 3
2000 abc abc M2 2 NA 6 3
2001 abc abc M2 2 NA 6 3
2002 abc abc M2 2 NA 6 3
2003 abc abc M2 2 NA 6 3
2004 abc abc M2 2 NA 6 3
2005 abc abc M2 2 NA 6 3
2006 abc abc M2 2 NA 6 3
2007 abc abc M2 2 NA 6 3
2008 abc abc M2 2 NA 6 3
2009 abc abc M2 2 NA 6 3
2010 abc abc M2 2 NA 6 3
1963 abc abc M2 2 NA 5 1
1964 abc abc M2 2 NA 5 1
1965 abc abc M2 2 NA 5 1
1966 abc abc M2 2 NA 5 1
1967 abc abc M2 2 NA 5 1
1968 abc abc M2 2 NA 5 1
1969 abc abc M2 2 NA 5 1
1970 abc abc M2 2 NA 5 1
1971 abc abc M2 2 NA 5 1
1972 abc abc M2 2 NA 5 1
1973 abc abc M2 2 NA 5 1
1974 abc abc M2 2 NA 5 1
1975 abc abc M2 2 NA 5 1
1976 abc abc M2 2 NA 5 1
1977 abc abc M2 2 NA 5 1
1978 abc abc M2 2 NA 5 1
1979 abc abc M2 2 NA 5 1
1980 abc abc M2 2 NA 5 1
1981 abc abc M2 2 NA 5 1
1982 abc abc M2 2 NA 5 1
1983 abc abc M2 2 NA 5 1
1984 abc abc M2 2 NA 5 1
1985 abc abc M2 2 NA 5 1
1986 abc abc M2 2 NA 5 1
1987 abc abc M2 2 NA 5 1
1988 abc abc M2 2 NA 5 1
1989 abc abc M2 2 NA 5 1
1990 abc abc M2 2 NA 5 1
1991 abc abc M2 2 NA 5 1
1992 abc abc M2 2 NA 5 1
1993 abc abc M2 2 NA 5 1
1994 abc abc M2 2 NA 5 1
1995 abc abc M2 2 NA 5 1
1996 abc abc M2 2 NA 5 1
1997 abc abc M2 2 NA 5 1
1998 abc abc M2 2 NA 5 1
1999 abc abc M2 2 NA 5 1
2000 abc abc M2 2 NA 5 1
2001 abc abc M2 2 NA 5 1
2002 abc abc M2 2 NA 5 1
2003 abc abc M2 2 NA 5 1
2004 abc abc M2 2 NA 5 1
2005 abc abc M2 2 NA 5 1
2006 abc abc M2 2 NA 5 1
2007 abc abc M2 2 NA 5 1
2008 abc abc M2 2 NA 5 1
2009 abc abc M2 2 NA 5 1
2010 abc abc M2 2 NA 5 1
1963 abc abc M2 2 NA 5 2
1964 abc abc M2 2 NA 5 2
1965 abc abc M2 2 NA 5 2
1966 abc abc M2 2 NA 5 2
1967 abc abc M2 2 NA 5 2
1968 abc abc M2 2 NA 5 2
1969 abc abc M2 2 NA 5 2
1970 abc abc M2 2 NA 5 2
1971 abc abc M2 2 NA 5 2
1972 abc abc M2 2 NA 5 2
1973 abc abc M2 2 NA 5 2
1974 abc abc M2 2 NA 5 2
1975 abc abc M2 2 NA 5 2
1976 abc abc M2 2 NA 5 2
1977 abc abc M2 2 NA 5 2
1978 abc abc M2 2 NA 5 2
1979 abc abc M2 2 NA 5 2
1980 abc abc M2 2 NA 5 2
1981 abc abc M2 2 NA 5 2
1982 abc abc M2 2 NA 5 2
1983 abc abc M2 2 NA 5 2
1984 abc abc M2 2 NA 5 2
1985 abc abc M2 2 NA 5 2
1986 abc abc M2 2 NA 5 2
1987 abc abc M2 2 NA 5 2
1988 abc abc M2 2 NA 5 2
1989 abc abc M2 2 NA 5 2
1990 abc abc M2 2 NA 5 2
1991 abc abc M2 2 NA 5 2
1992 abc abc M2 2 NA 5 2
1993 abc abc M2 2 NA 5 2
1994 abc abc M2 2 NA 5 2
1995 abc abc M2 2 NA 5 2
1996 abc abc M2 2 NA 5 2
1997 abc abc M2 2 NA 5 2
1998 abc abc M2 2 NA 5 2
1999 abc abc M2 2 NA 5 2
2000 abc abc M2 2 NA 5 2
2001 abc abc M2 2 NA 5 2
2002 abc abc M2 2 NA 5 2
2003 abc abc M2 2 NA 5 2
2004 abc abc M2 2 NA 5 2
2005 abc abc M2 2 NA 5 2
2006 abc abc M2 2 NA 5 2
2007 abc abc M2 2 NA 5 2
2008 abc abc M2 2 NA 5 2
2009 abc abc M2 2 NA 5 2
2010 abc abc M2 2 NA 5 2
1963 abc abc M2 2 NA 5 3
1964 abc abc M2 2 NA 5 3
1965 abc abc M2 2 NA 5 3
1966 abc abc M2 2 NA 5 3
1967 abc abc M2 2 NA 5 3
1968 abc abc M2 2 NA 5 3
1969 abc abc M2 2 NA 5 3
1970 abc abc M2 2 NA 5 3
1971 abc abc M2 2 NA 5 3
1972 abc abc M2 2 NA 5 3
1973 abc abc M2 2 NA 5 3
1974 abc abc M2 2 NA 5 3
1975 abc abc M2 2 NA 5 3
1976 abc abc M2 2 NA 5 3
1977 abc abc M2 2 NA 5 3
1978 abc abc M2 2 NA 5 3
1979 abc abc M2 2 NA 5 3
1980 abc abc M2 2 NA 5 3
1981 abc abc M2 2 NA 5 3
1982 abc abc M2 2 NA 5 3
1983 abc abc M2 2 NA 5 3
1984 abc abc M2 2 NA 5 3
1985 abc abc M2 2 NA 5 3
1986 abc abc M2 2 NA 5 3
1987 abc abc M2 2 NA 5 3
1988 abc abc M2 2 NA 5 3
1989 abc abc M2 2 NA 5 3
1990 abc abc M2 2 NA 5 3
1991 abc abc M2 2 NA 5 3
1992 abc abc M2 2 NA 5 3
1993 abc abc M2 2 NA 5 3
1994 abc abc M2 2 NA 5 3
1995 abc abc M2 2 NA 5 3
1996 abc abc M2 2 NA 5 3
1997 abc abc M2 2 NA 5 3
1998 abc abc M2 2 NA 5 3
1999 abc abc M2 2 NA 5 3
2000 abc abc M2 2 NA 5 3
2001 abc abc M2 2 NA 5 3
2002 abc abc M2 2 NA 5 3
2003 abc abc M2 2 NA 5 3
2004 abc abc M2 2 NA 5 3
2005 abc abc M2 2 NA 5 3
2006 abc abc M2 2 NA 5 3
2007 abc abc M2 2 NA 5 3
2008 abc abc M2 2 NA 5 3
2009 abc abc M2 2 NA 5 3
2010 abc abc M2 2 NA 5 3
1963 abc abc M2 2 NA 15 1
1964 abc abc M2 2 NA 15 1
1965 abc abc M2 2 NA 15 1
1966 abc abc M2 2 NA 15 1
1967 abc abc M2 2 NA 15 1
1968 abc abc M2 2 NA 15 1
1969 abc abc M2 2 NA 15 1
1970 abc abc M2 2 NA 15 1
1971 abc abc M2 2 NA 15 1
1972 abc abc M2 2 NA 15 1
1973 abc abc M2 2 NA 15 1
1974 abc abc M2 2 NA 15 1
1975 abc abc M2 2 NA 15 1
1976 abc abc M2 2 NA 15 1
1977 abc abc M2 2 NA 15 1
1978 abc abc M2 2 NA 15 1
1979 abc abc M2 2 NA 15 1
1980 abc abc M2 2 NA 15 1
1981 abc abc M2 2 NA 15 1
1982 abc abc M2 2 NA 15 1
1983 abc abc M2 2 NA 15 1
1984 abc abc M2 2 NA 15 1
1985 abc abc M2 2 NA 15 1
1986 abc abc M2 2 NA 15 1
1987 abc abc M2 2 NA 15 1
1988 abc abc M2 2 NA 15 1
1989 abc abc M2 2 NA 15 1
1990 abc abc M2 2 NA 15 1
1991 abc abc M2 2 NA 15 1
1992 abc abc M2 2 NA 15 1
1993 abc abc M2 2 NA 15 1
1994 abc abc M2 2 NA 15 1
1995 abc abc M2 2 NA 15 1
1996 abc abc M2 2 NA 15 1
1997 abc abc M2 2 NA 15 1
1998 abc abc M2 2 NA 15 1
1999 abc abc M2 2 NA 15 1
2000 abc abc M2 2 NA 15 1
2001 abc abc M2 2 NA 15 1
2002 abc abc M2 2 NA 15 1
2003 abc abc M2 2 NA 15 1
2004 abc abc M2 2 NA 15 1
2005 abc abc M2 2 NA 15 1
2006 abc abc M2 2 NA 15 1
2007 abc abc M2 2 NA 15 1
2008 abc abc M2 2 NA 15 1
2009 abc abc M2 2 NA 15 1
2010 abc abc M2 2 NA 15 1
1963 abc abc M2 2 NA 15 2
1964 abc abc M2 2 NA 15 2
1965 abc abc M2 2 NA 15 2
1966 abc abc M2 2 NA 15 2
1967 abc abc M2 2 NA 15 2
1968 abc abc M2 2 NA 15 2
1969 abc abc M2 2 NA 15 2
1970 abc abc M2 2 NA 15 2
1971 abc abc M2 2 NA 15 2
1972 abc abc M2 2 NA 15 2
1973 abc abc M2 2 NA 15 2
1974 abc abc M2 2 NA 15 2
1975 abc abc M2 2 NA 15 2
1976 abc abc M2 2 NA 15 2
1977 abc abc M2 2 NA 15 2
1978 abc abc M2 2 NA 15 2
1979 abc abc M2 2 NA 15 2
1980 abc abc M2 2 NA 15 2
1981 abc abc M2 2 NA 15 2
1982 abc abc M2 2 NA 15 2
1983 abc abc M2 2 NA 15 2
1984 abc abc M2 2 NA 15 2
1985 abc abc M2 2 NA 15 2
1986 abc abc M2 2 NA 15 2
1987 abc abc M2 2 NA 15 2
1988 abc abc M2 2 NA 15 2
1989 abc abc M2 2 NA 15 2
1990 abc abc M2 2 NA 15 2
1991 abc abc M2 2 NA 15 2
1992 abc abc M2 2 NA 15 2
1993 abc abc M2 2 NA 15 2
1994 abc abc M2 2 NA 15 2
1995 abc abc M2 2 NA 15 2
1996 abc abc M2 2 NA 15 2
1997 abc abc M2 2 NA 15 2
1998 abc abc M2 2 NA 15 2
1999 abc abc M2 2 NA 15 2
2000 abc abc M2 2 NA 15 2
2001 abc abc M2 2 NA 15 2
2002 abc abc M2 2 NA 15 2
2003 abc abc M2 2 NA 15 2
2004 abc abc M2 2 NA 15 2
2005 abc abc M2 2 NA 15 2
2006 abc abc M2 2 NA 15 2
2007 abc abc M2 2 NA 15 2
2008 abc abc M2 2 NA 15 2
2009 abc abc M2 2 NA 15 2
2010 abc abc M2 2 NA 15 2
1963 abc abc M2 2 0.1923686 15 3
1964 abc abc M2 2 0.1674113 15 3
1965 abc abc M2 2 0.2621712 15 3
1966 abc abc M2 2 0.3048826 15 3
1967 abc abc M2 2 0.3075607 15 3
1968 abc abc M2 2 0.2044431 15 3
1969 abc abc M2 2 0.2576598 15 3
1970 abc abc M2 2 0.3711241 15 3
1971 abc abc M2 2 0.2804326 15 3
1972 abc abc M2 2 0.1928885 15 3
1973 abc abc M2 2 0.2604336 15 3
1974 abc abc M2 2 0.3603955 15 3
1975 abc abc M2 2 0.2335887 15 3
1976 abc abc M2 2 0.2115045 15 3
1977 abc abc M2 2 0.2016115 15 3
1978 abc abc M2 2 0.2303011 15 3
1979 abc abc M2 2 0.1786016 15 3
1980 abc abc M2 2 0.2297568 15 3
1981 abc abc M2 2 0.2294649 15 3
1982 abc abc M2 2 0.2217298 15 3
1983 abc abc M2 2 0.2659112 15 3
1984 abc abc M2 2 0.1695554 15 3
1985 abc abc M2 2 0.1903778 15 3
1986 abc abc M2 2 0.1586908 15 3
1987 abc abc M2 2 0.1575771 15 3
1988 abc abc M2 2 0.1216227 15 3
1989 abc abc M2 2 0.1587887 15 3
1990 abc abc M2 2 0.1593989 15 3
1991 abc abc M2 2 0.1253482 15 3
1992 abc abc M2 2 0.1677468 15 3
1993 abc abc M2 2 0.1380875 15 3
1994 abc abc M2 2 0.0927877 15 3
1995 abc abc M2 2 0.1460406 15 3
1996 abc abc M2 2 0.131311 15 3
1997 abc abc M2 2 0.149661 15 3
1998 abc abc M2 2 0.1418016 15 3
1999 abc abc M2 2 0.09642635 15 3
2000 abc abc M2 2 0.08073039 15 3
2001 abc abc M2 2 0.04409781 15 3
2002 abc abc M2 2 0.04697206 15 3
2003 abc abc M2 2 0.09310697 15 3
2004 abc abc M2 2 0.075989 15 3
2005 abc abc M2 2 0.07437907 15 3
2006 abc abc M2 2 0.0619414 15 3
2007 abc abc M2 2 0.0845809 15 3
2008 abc abc M2 2 NA 15 3
2009 abc abc M2 2 NA 15 3
2010 abc abc M2 2 NA 15 3
1963 abc abc M2 2 NA 2 1
1964 abc abc M2 2 NA 2 1
1965 abc abc M2 2 NA 2 1
1966 abc abc M2 2 NA 2 1
1967 abc abc M2 2 NA 2 1
1968 abc abc M2 2 NA 2 1
1969 abc abc M2 2 NA 2 1
1970 abc abc M2 2 NA 2 1
1971 abc abc M2 2 NA 2 1
1972 abc abc M2 2 NA 2 1
1973 abc abc M2 2 NA 2 1
1974 abc abc M2 2 NA 2 1
1975 abc abc M2 2 NA 2 1
1976 abc abc M2 2 NA 2 1
1977 abc abc M2 2 NA 2 1
1978 abc abc M2 2 NA 2 1
1979 abc abc M2 2 NA 2 1
1980 abc abc M2 2 NA 2 1
1981 abc abc M2 2 NA 2 1
1982 abc abc M2 2 NA 2 1
1983 abc abc M2 2 NA 2 1
1984 abc abc M2 2 NA 2 1
1985 abc abc M2 2 NA 2 1
1986 abc abc M2 2 NA 2 1
1987 abc abc M2 2 NA 2 1
1988 abc abc M2 2 NA 2 1
1989 abc abc M2 2 NA 2 1
1990 abc abc M2 2 NA 2 1
1991 abc abc M2 2 NA 2 1
1992 abc abc M2 2 NA 2 1
1993 abc abc M2 2 NA 2 1
1994 abc abc M2 2 NA 2 1
1995 abc abc M2 2 NA 2 1
1996 abc abc M2 2 NA 2 1
1997 abc abc M2 2 NA 2 1
1998 abc abc M2 2 NA 2 1
1999 abc abc M2 2 NA 2 1
2000 abc abc M2 2 NA 2 1
2001 abc abc M2 2 NA 2 1
2002 abc abc M2 2 NA 2 1
2003 abc abc M2 2 NA 2 1
2004 abc abc M2 2 NA 2 1
2005 abc abc M2 2 NA 2 1
2006 abc abc M2 2 NA 2 1
2007 abc abc M2 2 NA 2 1
2008 abc abc M2 2 NA 2 1
2009 abc abc M2 2 NA 2 1
2010 abc abc M2 2 NA 2 1
1963 abc abc M2 2 NA 2 2
1964 abc abc M2 2 NA 2 2
